placeId,campus,name_ko,zone,lat,lng,note_ko
nsc-daybooth-01,nsc,주간부스 1번,대운동장 서편 스트립,,,"범례 6. 스트립 위→아래 5번째(2·3·4·5·1·6·7·8·9), 2칸 크기. 9.11 & 9.12: ESKARA 부스전 운영 본부"
nsc-daybooth-02,nsc,주간부스 2번,대운동장 서편 스트립,,,"범례 6. 스트립 최상단. 9.11: 캠퍼스는 다르지만 응원은 하고싶어 / 9.12: 운세는 랜덤, 향기는 커스텀"
nsc-daybooth-03,nsc,주간부스 3번,대운동장 서편 스트립,,,"범례 6. 스트립 위→아래 2번째. 9.11 & 9.12: 수제로켓전문점 아레스"
nsc-daybooth-04,nsc,주간부스 4번,대운동장 서편 스트립,,,"범례 6. 스트립 위→아래 3번째. 9.11: 실험실 탈출 / 9.12: S-LINK"
nsc-daybooth-05,nsc,주간부스 5번,대운동장 서편 스트립,,,"범례 6. 스트립 위→아래 4번째. 9.11 & 9.12: ROTC 부트캠프"
nsc-daybooth-06,nsc,주간부스 6번,대운동장 서편 스트립,,,"범례 6. 스트립 위→아래 6번째. 9.11 & 9.12: 잡았S:CATCH"
nsc-daybooth-07,nsc,주간부스 7번,대운동장 서편 스트립,,,"범례 6. 스트립 위→아래 7번째. 9.11 & 9.12: [ESKARA 정복 미션] 코드네임: TYPE-S"
nsc-daybooth-08,nsc,주간부스 8번,대운동장 서편 스트립,,,"범례 6. 스트립 위→아래 8번째. 9.11 & 9.12: 돌잔치"
nsc-daybooth-09,nsc,주간부스 9번,대운동장 서편 스트립,,,"범례 6. 스트립 최하단. 9.11 & 9.12: 모태솔로지만 젠디는 하고싶어"
nsc-bar-01,nsc,양일주점 1번,대운동장 동편,,,"범례 7. 동편 좌열 위→아래 1번째. 2025 양일: 슈퍼 정통 X 경영 브라더스"
nsc-bar-02,nsc,양일주점 2번,대운동장 동편,,,"범례 7. 동편 좌열 2번째. 2025 양일: 불가마 24시 스파동 숙/취/전/문"
nsc-bar-03,nsc,양일주점 3번,대운동장 동편,,,"범례 7. 동편 좌열 3번째. 2025 양일: 솦융이랑 유대랑 싸우나"
nsc-bar-04,nsc,양일주점 4번,대운동장 동편,,,"범례 7. 동편 좌열 4번째(최하단). 2025 양일: 인어공酒(주)"
nsc-bar-05,nsc,양일주점 5번,대운동장 동편,,,"범례 7. 동편 우열 위→아래 1번째. 2025 양일: 예스(yes), 크리스마스!"
nsc-bar-06,nsc,양일주점 6번,대운동장 동편,,,"범례 7. 동편 우열 2번째. 2025 양일: 골 때리는 킥 호프"
nsc-bar-07,nsc,양일주점 7번,대운동장 동편,,,"범례 7. 동편 우열 3번째. 2025 양일(단일): 이자카藥 (IZAKAYAK)"
nsc-bar-08,nsc,양일주점 8번,대운동장 동편,,,"범례 7. 동편 우열 4번째. 2025 양일(단일): 만병통취약"
nsc-bar-09,nsc,양일주점 9번,대운동장 동편,,,"범례 7. 동편 우열 5번째. 2025 양일(단일): 컴comm온! 산리오"
nsc-bar-10,nsc,양일주점 10번,대운동장 동편,,,"범례 7. 동편 우열 6번째(최하단). 2025 양일: 부추전, 김치전, 인자전, let's go"
nsc-nightbar-d1-01,nsc,1일차 야간주점 1번,대운동장 서편 스트립,,,"범례 7. 1일차는 서편 스트립을 3칸으로 분할(2일차 5칸과 경계 다름). 위→아래 1번째. 2025: 헤라의 불시착"
nsc-nightbar-d1-02,nsc,1일차 야간주점 2번,대운동장 서편 스트립,,,"범례 7. 1일차 3칸 중 2번째. 2025: ㄴr는… ㄱr끔… 술을 흘린ㄷㅏ…"
nsc-nightbar-d1-03,nsc,1일차 야간주점 3번,대운동장 서편 스트립,,,"범례 7. 1일차 3칸 중 3번째(최하단). 2025: 우끼끼친"
nsc-nightbar-d2-01,nsc,2일차 야간주점 1번,대운동장 서편 스트립,,,"범례 7. 2일차는 같은 스트립을 5칸으로 분할. 위→아래 1번째. 2025: 엔젤항공"
nsc-nightbar-d2-02,nsc,2일차 야간주점 2번,대운동장 서편 스트립,,,"범례 7. 2일차 5칸 중 2번째. 2025: 가면酒도회"
nsc-nightbar-d2-03,nsc,2일차 야간주점 3번,대운동장 서편 스트립,,,"범례 7. 2일차 5칸 중 3번째. 2025: F1: AIimi Pit Stop"
nsc-nightbar-d2-04,nsc,2일차 야간주점 4번,대운동장 서편 스트립,,,"범례 7. 2일차 5칸 중 4번째. 2025: 1루수가 누구야"
nsc-nightbar-d2-05,nsc,2일차 야간주점 5번,대운동장 서편 스트립,,,"범례 7. 2일차 5칸 중 5번째(최하단). 2025: 술과 취히로의 행방불명"
nsc-tshirt,nsc,티셔츠 배부,대운동장 북측,,,"범례 8. 북측 일렬 배치(8·9·10·11) 중 1번째. 2025: 9.11 12:00~소진시 / 9.12 10:00~소진시"
nsc-preorder,nsc,프리오더 현장 배부,대운동장 북측,,,"범례 9. 북측 일렬 2번째. 2025: 11:00-18:00"
nsc-photo-event,nsc,총학생회 포토 이벤트 부스,대운동장 북측,,,"범례 10. 북측 일렬 3번째. 2025: 11:00-18:00"
nsc-goods-shop,nsc,총학생회 굿즈샵,대운동장 북측,,,"범례 11. 북측 일렬 4번째. 2025: 11:00-20:00"
nsc-toilet-bioeng,nsc,화장실 (생명공학관),생명공학관,,,"범례 12. 상시 이용. 행사 종료 후에도 남는 상설 레이어 후보"
nsc-toilet-welfare,nsc,화장실 (복지회관),복지회관,,,"범례 12. 상시 이용. 상설 레이어 후보"
nsc-toilet-rotc,nsc,화장실 (학군단 1층 / 운용재 인근),운용재,,,"범례 12. 상시 이용. 지도 핀은 운용재 인근, 범례 문구는 '학군단 1층' — 총학 확인 필요. 상설 레이어 후보"
nsc-toilet-field,nsc,화장실 (대운동장 남서),대운동장 남서,,,"범례 12. 지도에만 있고 범례 문구에는 없음(임시 화장실 추정) — 총학 확인 필요"
nsc-selfie-booth,nsc,셀프 촬영 부스,학생회관,,,"범례 13. 상시 이용 가능"
nsc-medical,nsc,의무실 / 응급 부스,대운동장 남서,,,"지도의 '+' 마커. 별도 범례 번호 없음. 2025 건강센터는 복지회관 2층 9:00-22:00 연장 운영 — 두 지점 관계 총학 확인 필요. 상설 레이어 후보"
nsc-barrierfree,nsc,배리어프리존,,,,"2025 운영 확인됨(행사 복지 안내)이나 지도에 핀 없음 — 구역·좌표 모두 총학 확인 필요. zone 비움 = 미확정"
